Name,id,display_name,works_api_url,h_index,works_count,country_code
jiho kwak,https://openalex.org/A5108858557,Jiho. Kwak,https://api.openalex.org/works?filter=author.id:A5108858557,0.0,1.0,KR
tom theile,https://openalex.org/A5033208803,Tom Theile,https://api.openalex.org/works?filter=author.id:A5033208803,6.0,19.0,
jisu kim,https://openalex.org/A5100451477,Jisu Kim,https://api.openalex.org/works?filter=author.id:A5100451477,30.0,322.0,KR
megan brown,https://openalex.org/A5091451403,Neil C. Henderson,https://api.openalex.org/works?filter=author.id:A5091451403,63.0,259.0,US
shubham atreja,https://openalex.org/A5076021360,Shubham Atreja,https://api.openalex.org/works?filter=author.id:A5076021360,9.0,24.0,US
patrick y. wu,https://openalex.org/A5064038244,Hao Wu,https://api.openalex.org/works?filter=author.id:A5064038244,38.0,121.0,US
libby hemphill,https://openalex.org/A5077179813,Libby Hemphill,https://api.openalex.org/works?filter=author.id:A5077179813,23.0,141.0,US
siming huang,https://openalex.org/A5037727403,Siming Huang,https://api.openalex.org/works?filter=author.id:A5037727403,38.0,115.0,US
yuliang xu,https://openalex.org/A5100951653,Yuliang Xu,https://api.openalex.org/works?filter=author.id:A5100951653,18.0,50.0,US
dimitrios kokkinakis,https://openalex.org/A5064802580,Dimitrios Kokkinakis,https://api.openalex.org/works?filter=author.id:A5064802580,15.0,106.0,SE
daniel wojahn,https://openalex.org/A5060299718,Daniel Wojahn,https://api.openalex.org/works?filter=author.id:A5060299718,3.0,16.0,
johan järlehed,https://openalex.org/A5018297686,Johan Järlehed,https://api.openalex.org/works?filter=author.id:A5018297686,10.0,32.0,NL
collin coil,https://openalex.org/A5093454296,Collin Coil,https://api.openalex.org/works?filter=author.id:A5093454296,2.0,13.0,US
nicholas chen,https://openalex.org/A5100731451,Eric Chen,https://api.openalex.org/works?filter=author.id:A5100731451,85.0,1435.0,US
caroline bruckner,https://openalex.org/A5058710207,Caroline Holt,https://api.openalex.org/works?filter=author.id:A5058710207,2.0,2.0,
saeedeh mohammadi,https://openalex.org/A5019811597,Somayyeh Mohammadi,https://api.openalex.org/works?filter=author.id:A5019811597,14.0,123.0,IE
andrew schauf,https://openalex.org/A5040651152,Andrew Schauf,https://api.openalex.org/works?filter=author.id:A5040651152,3.0,13.0,ID
miguel escobar varela,https://openalex.org/A5009440845,Miguel Escobar Varela,https://api.openalex.org/works?filter=author.id:A5009440845,6.0,47.0,SG
michael patrick mcgreevy,https://openalex.org/A5089601215,Michael McGreevy,https://api.openalex.org/works?filter=author.id:A5089601215,10.0,30.0,SG
joshua claassen,https://openalex.org/A5024418682,Paul A. Gardiner,https://api.openalex.org/works?filter=author.id:A5024418682,48.0,193.0,AU
jan karem höhne,https://openalex.org/A5070855193,Jan Karem Höhne,https://api.openalex.org/works?filter=author.id:A5070855193,16.0,69.0,DE
ruben l. bach,https://openalex.org/A5058847520,Ruben L. Bach,https://api.openalex.org/works?filter=author.id:A5058847520,14.0,65.0,DE
anna-carolina haensch,https://openalex.org/A5037838698,Anna‐Carolina Haensch,https://api.openalex.org/works?filter=author.id:A5037838698,4.0,48.0,DE
germans savcisens,https://openalex.org/A5073159336,Germans Savcisens,https://api.openalex.org/works?filter=author.id:A5073159336,2.0,14.0,MX
tina eliassi-rad,https://openalex.org/A5080731595,Tina Eliassi‐Rad,https://api.openalex.org/works?filter=author.id:A5080731595,37.0,216.0,
wanwan zheng,https://openalex.org/A5100431833,Wei Liu,https://api.openalex.org/works?filter=author.id:A5100431833,36.0,308.0,CN
gang li,https://openalex.org/A5100438640,Gang Li,https://api.openalex.org/works?filter=author.id:A5100438640,106.0,702.0,CN
dandan qiao,https://openalex.org/A5069287307,Dandan Qiao,https://api.openalex.org/works?filter=author.id:A5069287307,10.0,28.0,CN
mingxuan zheng,https://openalex.org/A5057457548,Gang Sun,https://api.openalex.org/works?filter=author.id:A5057457548,81.0,546.0,CN
yannik keller,https://openalex.org/A5040323736,Marcus J. Grote,https://api.openalex.org/works?filter=author.id:A5040323736,31.0,141.0,
jana jung,https://openalex.org/A5060321935,Jana Jung,https://api.openalex.org/works?filter=author.id:A5060321935,2.0,7.0,DE
annina claesson,https://openalex.org/A5074509683,Annina Claesson,https://api.openalex.org/works?filter=author.id:A5074509683,3.0,10.0,
emilien schultz,https://openalex.org/A5079294298,Émilien Schultz,https://api.openalex.org/works?filter=author.id:A5079294298,11.0,114.0,FR
robin forsberg,https://openalex.org/A5120281370,Robin Forsberg,https://api.openalex.org/works?filter=author.id:A5120281370,0.0,2.0,
desheng hu,https://openalex.org/A5007105250,Desheng Hu,https://api.openalex.org/works?filter=author.id:A5007105250,33.0,164.0,CN
matti nelimarkka,https://openalex.org/A5034728614,Matti Nelimarkka,https://api.openalex.org/works?filter=author.id:A5034728614,17.0,90.0,
naomi baes,https://openalex.org/A5022900079,Naomi Baes,https://api.openalex.org/works?filter=author.id:A5022900079,5.0,19.0,
ekaterina vylomova,https://openalex.org/A5088590161,Terry Regier,https://api.openalex.org/works?filter=author.id:A5088590161,43.0,135.0,US
nick haslam,https://openalex.org/A5090589044,Nick Haslam,https://api.openalex.org/works?filter=author.id:A5090589044,83.0,513.0,US
myokyung han,https://openalex.org/A5125117528,Myokyung Han,https://api.openalex.org/works?filter=author.id:A5125117528,0.0,1.0,KR
taegyoon kim,https://openalex.org/A5087900468,Taegyoon Kim,https://api.openalex.org/works?filter=author.id:A5087900468,2.0,8.0,KR
jinhyuk yun,https://openalex.org/A5102922371,Jinhyuk Yun,https://api.openalex.org/works?filter=author.id:A5102922371,7.0,40.0,KR
lanu kim,https://openalex.org/A5018964666,Lanu Kim,https://api.openalex.org/works?filter=author.id:A5018964666,8.0,24.0,KR
lunan zhao,https://openalex.org/A5032193396,Lunan Zhao,https://api.openalex.org/works?filter=author.id:A5032193396,3.0,3.0,CN
anding wang,https://openalex.org/A5041987478,Anding Wang,https://api.openalex.org/works?filter=author.id:A5041987478,35.0,116.0,CN
xiaoxing fu,https://openalex.org/A5019216175,Xiaoxing Fu,https://api.openalex.org/works?filter=author.id:A5019216175,10.0,21.0,CN
lion wedel,https://openalex.org/A5099112788,Lion Wedel,https://api.openalex.org/works?filter=author.id:A5099112788,1.0,9.0,
wenlan zhang,https://openalex.org/A5102002026,Wenlan Zhang,https://api.openalex.org/works?filter=author.id:A5102002026,32.0,94.0,CN
qunshan zhao,https://openalex.org/A5077137261,Qunshan Zhao,https://api.openalex.org/works?filter=author.id:A5077137261,17.0,96.0,GB
adeline clarke,https://openalex.org/A5099120990,Adeline Clarke,https://api.openalex.org/works?filter=author.id:A5099120990,0.0,3.0,
andrea baños-ramos,https://openalex.org/A5117345727,Andrea Baños-Ramos,https://api.openalex.org/works?filter=author.id:A5117345727,0.0,2.0,ES
gregorio lópez lópez,https://openalex.org/A5081286391,G. López,https://api.openalex.org/works?filter=author.id:A5081286391,34.0,342.0,ES
mario castro ponce,https://openalex.org/A5002816287,Mario Castro,https://api.openalex.org/works?filter=author.id:A5002816287,33.0,177.0,US
maría reneses botija,https://openalex.org/A5002826369,María Reneses,https://api.openalex.org/works?filter=author.id:A5002826369,2.0,12.0,ES
edmond awad,https://openalex.org/A5033716467,Edmond Awad,https://api.openalex.org/works?filter=author.id:A5033716467,17.0,74.0,GB
amy l murphy,https://openalex.org/A5002205400,Amy L. Murphy,https://api.openalex.org/works?filter=author.id:A5002205400,36.0,190.0,IT
davide molteni,https://openalex.org/A5052449725,Davide Molteni,https://api.openalex.org/works?filter=author.id:A5052449725,6.0,23.0,IT
gian pietro picco,https://openalex.org/A5022068732,Gian Pietro Picco,https://api.openalex.org/works?filter=author.id:A5022068732,49.0,243.0,IT
michele tizzoni,https://openalex.org/A5059787882,Michele Tizzoni,https://api.openalex.org/works?filter=author.id:A5059787882,33.0,118.0,IT
callie clark,https://openalex.org/A5081342564,Callie Clark,https://api.openalex.org/works?filter=author.id:A5081342564,4.0,8.0,
xiyuan ren,https://openalex.org/A5037920323,Xiaoxu Ren,https://api.openalex.org/works?filter=author.id:A5037920323,11.0,78.0,CN
salsabil salah,https://openalex.org/A5103805258,Salsabil Salah,https://api.openalex.org/works?filter=author.id:A5103805258,1.0,1.0,
anne driscoll,https://openalex.org/A5050026032,Anne K. Driscoll,https://api.openalex.org/works?filter=author.id:A5050026032,35.0,77.0,
joseph chow,https://openalex.org/A5012661788,Joseph W. Chow,https://api.openalex.org/works?filter=author.id:A5012661788,42.0,90.0,US
sarah tell,https://openalex.org/A5057969700,Sarah Tell,https://api.openalex.org/works?filter=author.id:A5057969700,3.0,13.0,SE
moena hashimoto,https://openalex.org/A5105892330,Moena Hashimoto,https://api.openalex.org/works?filter=author.id:A5105892330,1.0,4.0,
kohei f. takeda,https://openalex.org/A5017981514,Kohei Takeda,https://api.openalex.org/works?filter=author.id:A5017981514,23.0,169.0,SG
ryuma shineha,https://openalex.org/A5028783703,Ryuma Shineha,https://api.openalex.org/works?filter=author.id:A5028783703,9.0,33.0,JP
akiko matsuo,https://openalex.org/A5022066530,Akiko Matsuo,https://api.openalex.org/works?filter=author.id:A5022066530,32.0,356.0,JP
kazutoshi sasahara,https://openalex.org/A5046036512,Kazutoshi Sasahara,https://api.openalex.org/works?filter=author.id:A5046036512,16.0,138.0,
xinyi zhao,https://openalex.org/A5042433819,Xinyi Zhao,https://api.openalex.org/works?filter=author.id:A5042433819,29.0,147.0,CN
cheng-ying wu,https://openalex.org/A5050453522,Cheng‐Ying Wu,https://api.openalex.org/works?filter=author.id:A5050453522,30.0,90.0,CN
edwin de jonge,https://openalex.org/A5070909977,Edwin de Jonge,https://api.openalex.org/works?filter=author.id:A5070909977,8.0,58.0,NL
karen van hedel,https://openalex.org/A5011484967,Karen van Hedel,https://api.openalex.org/works?filter=author.id:A5011484967,7.0,16.0,
alina herderich,https://openalex.org/A5017332030,Alina Herderich,https://api.openalex.org/works?filter=author.id:A5017332030,4.0,20.0,AT
amit goldenberg,https://openalex.org/A5025218700,Amit Goldenberg,https://api.openalex.org/works?filter=author.id:A5025218700,30.0,171.0,US
aniko biro,https://openalex.org/A5021991324,Anikó Bíró,https://api.openalex.org/works?filter=author.id:A5021991324,15.0,67.0,
ruiqing han,https://openalex.org/A5110552453,Rongxiang Han,https://api.openalex.org/works?filter=author.id:A5110552453,26.0,58.0,US
travis proulx,https://openalex.org/A5049074892,Travis Proulx,https://api.openalex.org/works?filter=author.id:A5049074892,27.0,81.0,
frenk van harreveld,https://openalex.org/A5038920997,Frenk van Harreveld,https://api.openalex.org/works?filter=author.id:A5038920997,37.0,188.0,NL
geoff haddock,https://openalex.org/A5048263971,Geoffrey Haddock,https://api.openalex.org/works?filter=author.id:A5048263971,36.0,145.0,GB
peidong mei,https://openalex.org/A5044421492,Peidong Mei,https://api.openalex.org/works?filter=author.id:A5044421492,2.0,9.0,GB
deborah n brewis,https://openalex.org/A5013072551,Deborah N. Brewis,https://api.openalex.org/works?filter=author.id:A5013072551,8.0,38.0,GB
fortune nwaiwu,https://openalex.org/A5033227248,Fortune Nwaiwu,https://api.openalex.org/works?filter=author.id:A5033227248,8.0,21.0,GB
deshan sumanathilaka,https://openalex.org/A5092142578,T.G.D.K. Sumanathilaka,https://api.openalex.org/works?filter=author.id:A5092142578,4.0,16.0,GB
fernando alva-manchego,https://openalex.org/A5078039217,Fernando Alva-Manchego,https://api.openalex.org/works?filter=author.id:A5078039217,12.0,44.0,GB
joanna demaree-cotton,https://openalex.org/A5006534173,Joanna Demaree‐Cotton,https://api.openalex.org/works?filter=author.id:A5006534173,8.0,18.0,GB
jia li,https://openalex.org/A5009049500,Li-Jia Li,https://api.openalex.org/works?filter=author.id:A5009049500,49.0,127.0,US
marten appel,https://openalex.org/A5113100067,Marten Appel,https://api.openalex.org/works?filter=author.id:A5113100067,1.0,1.0,DK
ingo zettler,https://openalex.org/A5073853084,Ingo Zettler,https://api.openalex.org/works?filter=author.id:A5073853084,51.0,234.0,DK
rosa ellen lavelle-hill,https://openalex.org/A5061629163,Rosa Lavelle-Hill,https://api.openalex.org/works?filter=author.id:A5061629163,8.0,35.0,DK
